iter	Passed	Remaining
899	3411	379
900	3415	375
901	3419	371
902	3422	367
903	3426	363
904	3430	360
905	3434	356
906	3438	352
907	3441	348
908	3445	344
909	3449	341
910	3453	337
911	3457	333
912	3461	329
913	3465	326
914	3469	322
915	3473	318
916	3476	314
917	3480	310
918	3484	307
919	3487	303
920	3491	299
921	3495	295
922	3498	291
923	3502	288
924	3506	284
925	3510	280
926	3514	276
927	3517	272
928	3521	269
929	3525	265
930	3529	261
931	3532	257
932	3535	253
933	3539	250
934	3543	246
935	3546	242
936	3550	238
937	3554	234
938	3558	231
939	3562	227
940	3566	223
941	3570	219
942	3574	216
943	3578	212
944	3582	208
945	3585	204
946	3589	200
947	3593	197
948	3597	193
949	3601	189
950	3605	185
951	3608	181
952	3612	178
953	3616	174
954	3620	170
955	3623	166
956	3627	162
957	3631	159
958	3635	155
959	3639	151
960	3642	147
961	3646	144
962	3650	140
963	3653	136
964	3657	132
965	3661	128
966	3665	125
967	3668	121
968	3672	117
969	3676	113
970	3680	109
971	3684	106
972	3688	102
973	3691	98
974	3695	94
975	3698	90
976	3702	87
977	3705	83
978	3709	79
979	3713	75
980	3717	71
981	3720	68
982	3724	64
983	3729	60
984	3733	56
985	3737	53
986	3740	49
987	3747	45
988	3751	41
989	3754	37
990	3758	34
991	3762	30
992	3766	26
993	3770	22
994	3773	18
995	3777	15
996	3781	11
997	3785	7
998	3789	3
999	3793	0
